region,Year,0
Japan,2016,64
Jordan,2016,1
Kazakhstan,1994,3
Kazakhstan,1996,11
Kazakhstan,1998,2
Kazakhstan,2000,7
Kazakhstan,2004,8
Kazakhstan,2008,13
Kazakhstan,2010,1
Kazakhstan,2012,13
Kazakhstan,2014,1
Kazakhstan,2016,18
Kenya,1964,1
Kenya,1968,12
Kenya,1972,12
Kenya,1984,3
Kenya,1988,9
Kenya,1992,8
Kenya,1996,8
Kenya,2000,7
Kenya,2004,7
Kenya,2008,15
Kenya,2012,11
Kenya,2016,13
Kosovo,2016,1
Kuwait,2000,1
Kuwait,2012,1
Kyrgyzstan,2000,1
Kyrgyzstan,2008,2
Latvia,1932,1
Latvia,1936,2
Latvia,1992,3
Latvia,1996,1
Latvia,2000,3
Latvia,2004,4
Latvia,2006,1
Latvia,2008,3
Latvia,2010,3
Latvia,2012,3
Latvia,2014,11
Lebanon,1952,2
Lebanon,1972,1
Lebanon,1980,1
Liechtenstein,1976,2
Liechtenstein,1980,4
Liechtenstein,1984,2
Liechtenstein,1988,1
Lithuania,1992,13
Lithuania,1996,11
Lithuania,2000,17
Lithuania,2004,3
Lithuania,2008,5
Lithuania,2012,5
Lithuania,2016,7
Luxembourg,1900,1
Luxembourg,1920,1
Luxembourg,1924,2
Luxembourg,1928,1
Luxembourg,1952,1
Luxembourg,1992,2
Macedonia,2000,1
Malaysia,1992,2
Malaysia,1996,3
Malaysia,2008,1
Malaysia,2012,2
Malaysia,2016,8
Mauritius,2008,1
Mexico,1900,3
Mexico,1932,2
Mexico,1936,16
Mexico,1948,9
Mexico,1952,1
Mexico,1956,2
Mexico,1960,1
Mexico,1964,1
Mexico,1968,9
Mexico,1972,1
Mexico,1976,2
Mexico,1980,10
Mexico,1984,6
Mexico,1988,2
Mexico,1992,1
Mexico,1996,1
Mexico,2000,6
Mexico,2004,4
Mexico,2008,4
Mexico,2012,24
Mexico,2016,5
Moldova,1996,3
Moldova,2000,2
Moldova,2008,1
Moldova,2012,2
Monaco,1924,1
Mongolia,1968,4
Mongolia,1972,1
Mongolia,1976,1
Mongolia,1980,4
Mongolia,1988,1
Mongolia,1992,2
Mongolia,1996,1
Mongolia,2004,1
Mongolia,2008,4
Mongolia,2012,5
Mongolia,2016,2
Montenegro,2012,14
Morocco,1960,1
Morocco,1984,2
Morocco,1988,3
Morocco,1992,3
Morocco,1996,2
Morocco,2000,5
Morocco,2004,3
Morocco,2008,2
Morocco,2012,1
Morocco,2016,1
Mozambique,1996,1
Mozambique,2000,1
Namibia,1992,2
Namibia,1996,2
Nepal,1924,1
Netherlands,1900,27
Netherlands,1906,6
Netherlands,1908,16
Netherlands,1912,26
Netherlands,1920,50
Netherlands,1924,27
Netherlands,1928,57
Netherlands,1932,13
Netherlands,1936,37
Netherlands,1948,42
Netherlands,1952,21
Netherlands,1960,5
Netherlands,1964,33
Netherlands,1968,23
Netherlands,1972,15
Netherlands,1976,20
Netherlands,1980,10
Netherlands,1984,41
Netherlands,1988,52
Netherlands,1992,37
Netherlands,1994,4
Netherlands,1996,73
Netherlands,1998,11
Netherlands,2000,79
Netherlands,2002,8
Netherlands,2004,77
Netherlands,2006,13
Netherlands,2008,61
Netherlands,2010,11
Netherlands,2012,69
Netherlands,2014,29
Netherlands,2016,47
New Zealand,1900,1
New Zealand,1920,1
New Zealand,1924,1
New Zealand,1928,1
New Zealand,1932,2
New Zealand,1936,1
New Zealand,1952,3
New Zealand,1956,3
New Zealand,1960,3
New Zealand,1964,6
New Zealand,1968,7
New Zealand,1972,14
New Zealand,1976,25
New Zealand,1984,23
New Zealand,1988,24
New Zealand,1992,16
New Zealand,1996,9
New Zealand,2000,4
New Zealand,2004,6
New Zealand,2008,15
New Zealand,2012,27
New Zealand,2016,36
Niger,1972,1
Niger,2016,1
Nigeria,1964,1
Nigeria,1972,1
Nigeria,1984,5
Nigeria,1992,11
Nigeria,1996,24
Nigeria,2000,8
Nigeria,2004,8
Nigeria,2008,23
Nigeria,2016,18
North Korea,1964,1
North Korea,1972,15
North Korea,1976,2
North Korea,1980,5
North Korea,1992,11
North Korea,1996,5
North Korea,2000,4
North Korea,2004,5
North Korea,2008,6
North Korea,2012,6
North Korea,2016,7
Norway,1900,9
Norway,1904,2
Norway,1906,25
Norway,1908,42
Norway,1912,80
Norway,1920,137
Norway,1924,39
Norway,1928,24
Norway,1932,10
Norway,1936,46
Norway,1948,31
Norway,1952,32
Norway,1956,7
Norway,1960,11
Norway,1964,15
Norway,1968,28
Norway,1972,25
Norway,1976,16
Norway,1980,15
Norway,1984,19
Norway,1988,33
Norway,1992,47
Norway,1994,30
Norway,1996,23
Norway,1998,40
Norway,2000,43
Norway,2002,41
Norway,2004,7
Norway,2006,23
Norway,2008,22
Norway,2010,39
Norway,2012,17
Norway,2014,36
Norway,2016,19
Pakistan,1956,14
Pakistan,1960,14
Pakistan,1964,16
Pakistan,1968,13
Pakistan,1972,15
Pakistan,1976,16
Pakistan,1984,16
Pakistan,1988,1
Pakistan,1992,16
Panama,1948,2
Panama,2008,1
Paraguay,2004,17
Peru,1948,1
Peru,1984,1
Peru,1988,12
Peru,1992,1
Philippines,1928,1
Philippines,1932,3
Philippines,1936,1
Philippines,1964,1
Philippines,1988,1
Philippines,1992,1
Philippines,1996,1
Philippines,2016,1
Poland,1924,5
Poland,1928,20
Poland,1932,21
Poland,1936,12
Poland,1948,2
Poland,1952,4
Poland,1956,20
Poland,1960,32
Poland,1964,46
Poland,1968,37
Poland,1972,47
Poland,1976,73
Poland,1980,50
Poland,1988,21
Poland,1992,46
Poland,1996,22
Poland,2000,24
Poland,2002,2
Poland,2004,12
Poland,2006,2
Poland,2008,20
Poland,2010,8
Poland,2012,12
Poland,2014,11
Poland,2016,16
Portugal,1924,4
Portugal,1928,6
Portugal,1936,3
Portugal,1948,5
Portugal,1952,2
Portugal,1960,2
Portugal,1976,2
Portugal,1984,3
Portugal,1988,1
Portugal,1996,3
Portugal,2000,2
Portugal,2004,3
Portugal,2008,2
Portugal,2012,2
Portugal,2016,1
Puerto Rico,1948,1
Puerto Rico,1976,1
Puerto Rico,1984,2
Puerto Rico,1992,1
Puerto Rico,1996,1
Puerto Rico,2012,2
Puerto Rico,2016,1
Qatar,1992,1
Qatar,2000,1
Qatar,2012,2
Qatar,2016,1
Romania,1924,16
Romania,1936,1
Romania,1952,4
Romania,1956,19
Romania,1960,15
Romania,1964,16
Romania,1968,25
Romania,1972,40
Romania,1976,55
Romania,1980,68
Romania,1984,106
Romania,1988,58
Romania,1992,53
Romania,1996,38
Romania,2000,46
Romania,2004,39
Romania,2008,22
Romania,2012,16
Romania,2016,16
Russia,1908,3
Russia,1912,14
Russia,1952,117
Russia,1956,206
Russia,1960,211
Russia,1964,221
Russia,1968,229
Russia,1972,259
Russia,1976,342
Russia,1980,496
Russia,1984,56
Russia,1988,366
Russia,1992,279
Russia,1994,36
Russia,1996,115
Russia,1998,52
Russia,2000,187
Russia,2002,38
Russia,2004,189
Russia,2006,41
Russia,2008,142
Russia,2010,25
Russia,2012,140
Russia,2014,68
Russia,2016,115
Saudi Arabia,2000,2
Saudi Arabia,2012,4
Senegal,1988,1
Serbia,1924,2
Serbia,1928,12
Serbia,1936,1
Serbia,1948,16
Serbia,1952,24
Serbia,1956,23
Serbia,1960,17
Serbia,1964,15
Serbia,1968,29
Serbia,1972,18
Serbia,1976,19
Serbia,1980,57
Serbia,1984,88
Serbia,1988,69
Serbia,1996,26
Serbia,2000,25
Serbia,2004,13
Serbia,2008,15
Serbia,2012,16
Serbia,2016,54
Slovakia,1996,3
Slovakia,2000,6
Slovakia,2004,10
Slovakia,2006,1
Slovakia,2008,10
Slovakia,2010,3
Slovakia,2012,5
Slovakia,2014,1
Slovakia,2016,8
Slovenia,1992,6
Slovenia,1994,3
Slovenia,1996,2
Slovenia,2000,3
Slovenia,2002,4
Slovenia,2004,5
Slovenia,2008,5
Slovenia,2010,3
Slovenia,2012,5
Slovenia,2014,8
Slovenia,2016,4
South Africa,1908,2
South Africa,1912,7
South Africa,1920,21
South Africa,1924,3
South Africa,1928,6
South Africa,1932,5
South Africa,1936,1
South Africa,1948,6
South Africa,1952,14
South Africa,1956,7
South Africa,1960,3
South Africa,1992,3
South Africa,1996,5
South Africa,2000,5
South Africa,2004,10
South Africa,2008,1
South Africa,2012,9
South Africa,2016,23
South Korea,1948,2
South Korea,1952,2
South Korea,1956,2
South Korea,1964,3
South Korea,1968,2
South Korea,1972,1
South Korea,1976,17
South Korea,1984,41
South Korea,1988,77
South Korea,1992,56
South Korea,1994,9
South Korea,1996,66
South Korea,1998,12
South Korea,2000,73
South Korea,2002,7
South Korea,2004,52
South Korea,2006,19
South Korea,2008,78
South Korea,2010,18
South Korea,2012,61
South Korea,2014,14
South Korea,2016,26
Spain,1900,2
Spain,1920,23
Spain,1928,3
Spain,1932,1
Spain,1948,3
Spain,1952,1
Spain,1960,14
Spain,1972,2
Spain,1976,6
Spain,1980,24
Spain,1984,19
Spain,1988,5
Spain,1992,70
Spain,1996,66
Spain,2000,42
Spain,2004,30
Spain,2008,70
Spain,2012,63
Spain,2016,45
Sri Lanka,1948,1
Sri Lanka,2000,1
Sudan,2008,1
Suriname,1988,1
Suriname,1992,1
Sweden,1900,4
Sweden,1906,21
Sweden,1908,84
Sweden,1912,190
Sweden,1920,154
Sweden,1924,81
Sweden,1928,53
Sweden,1932,35
Sweden,1936,45
Sweden,1948,88
Sweden,1952,93
Sweden,1956,49
Sweden,1960,16
Sweden,1964,43
Sweden,1968,25
Sweden,1972,26
Sweden,1976,12
Sweden,1980,43
Sweden,1984,64
Sweden,1988,46
Sweden,1992,42
Sweden,1994,24
Sweden,1996,31
Sweden,1998,7
Sweden,2000,32
Sweden,2002,26
Sweden,2004,12
Sweden,2006,64
Sweden,2008,7
Sweden,2010,18
Sweden,2012,22
Sweden,2014,51
Sweden,2016,28
Switzerland,1896,3
Switzerland,1900,21
Switzerland,1904,3
Switzerland,1906,12
Switzerland,1912,2
Switzerland,1920,29
Switzerland,1924,69
Switzerland,1928,42
Switzerland,1932,3
Switzerland,1936,62
Switzerland,1948,64
Switzerland,1952,39
Switzerland,1956,13
Switzerland,1960,14
Switzerland,1964,6
Switzerland,1968,22
Switzerland,1972,25
Switzerland,1976,19
Switzerland,1980,11
Switzerland,1984,21
Switzerland,1988,28
Switzerland,1992,8
Switzerland,1994,16
Switzerland,1996,11
Switzerland,1998,14
Switzerland,2000,14
Switzerland,2002,24
Switzerland,2004,7
Switzerland,2006,21
Switzerland,2008,11
Switzerland,2010,12
Switzerland,2012,4
Switzerland,2014,30
Switzerland,2016,11
Syria,1960,2
Syria,1984,1
Syria,1996,1
Syria,2004,1
Taiwan,1960,1
Taiwan,1968,1
Taiwan,1984,1
Taiwan,1992,20
Taiwan,1996,1
Taiwan,2000,5
Taiwan,2004,9
Taiwan,2008,4
Taiwan,2012,2
Taiwan,2016,5
Tajikistan,2008,2
Tajikistan,2012,1
Tajikistan,2016,1
Tanzania,1980,2
Thailand,1976,1
Thailand,1984,1
Thailand,1988,1
Thailand,1992,1
Thailand,1996,2
Thailand,2000,3
Thailand,2004,8
Thailand,2008,4
Thailand,2012,3
Thailand,2016,6
Togo,2008,1
Tonga,1996,1
Trinidad,1948,1
Trinidad,1952,2
Trinidad,1960,5
Trinidad,1964,6
Trinidad,1976,1
Trinidad,1996,2
Trinidad,2000,2
Trinidad,2004,1
Trinidad,2008,6
Trinidad,2012,10
Trinidad,2016,1
Tunisia,1964,2
Tunisia,1968,2
Tunisia,1972,1
Tunisia,1996,1
Tunisia,2008,1
Tunisia,2012,3
Tunisia,2016,3
Turkey,1936,2
Turkey,1948,12
Turkey,1952,3
Turkey,1956,7
Turkey,1960,9
Turkey,1964,6
Turkey,1968,2
Turkey,1972,1
Turkey,1984,3
Turkey,1988,2
Turkey,1992,6
Turkey,1996,6
Turkey,2000,5
Turkey,2004,11
Turkey,2008,7
Turkey,2012,5
Turkey,2016,8
UK,1896,9
UK,1900,108
UK,1904,2
UK,1906,39
UK,1908,368
UK,1912,170
UK,1920,111
UK,1924,95
UK,1928,59
UK,1932,35
UK,1936,53
UK,1948,63
UK,1952,32
UK,1956,46
UK,1960,28
UK,1964,30
UK,1968,19
UK,1972,29
UK,1976,33
UK,1980,48
UK,1984,73
UK,1988,54
UK,1992,50
UK,1994,3
UK,1996,26
UK,1998,4
UK,2000,54
UK,2002,6
UK,2004,57
UK,2006,1
UK,2008,81
UK,2010,1
UK,2012,126
UK,2014,10
UK,2016,145
USA,1896,20
USA,1900,63
USA,1904,394
USA,1906,24
USA,1908,65
USA,1912,107
USA,1920,194
USA,1924,194
USA,1928,102
USA,1932,223
USA,1936,112
USA,1948,168
USA,1952,164
USA,1956,149
USA,1960,152
USA,1964,177
USA,1968,173
USA,1972,195
USA,1976,175
USA,1980,30
USA,1984,361
USA,1988,214
USA,1992,238
USA,1994,19
USA,1996,259
USA,1998,34
USA,2000,242
USA,2002,84
USA,2004,263
USA,2006,52
USA,2008,317
USA,2010,97
USA,2012,248
USA,2014,64
USA,2016,264
Uganda,1968,2
Uganda,1972,2
Uganda,1980,1
Uganda,1996,1
Uganda,2012,1
Ukraine,1994,2
Ukraine,1996,34
Ukraine,1998,1
Ukraine,2000,35
Ukraine,2004,47
Ukraine,2006,3
Ukraine,2008,31
Ukraine,2012,26
Ukraine,2014,5
Ukraine,2016,15
United Arab Emirates,2004,1
United Arab Emirates,2016,1
Uruguay,1924,14
Uruguay,1928,17
Uruguay,1932,1
Uruguay,1948,3
Uruguay,1952,14
Uruguay,1956,12
Uruguay,1964,1
Uruguay,2000,1
Uzbekistan,1994,1
Uzbekistan,1996,2
Uzbekistan,2000,4
Uzbekistan,2004,5
Uzbekistan,2008,6
Uzbekistan,2012,3
Uzbekistan,2016,13
Venezuela,1952,1
Venezuela,1960,1
Venezuela,1968,1
Venezuela,1976,1
Venezuela,1980,1
Venezuela,1984,3
Venezuela,2004,2
Venezuela,2008,1
Venezuela,2012,1
Venezuela,2016,3
Vietnam,2000,1
Vietnam,2008,1
Vietnam,2016,2
"Virgin Islands, US",1988,1
Zambia,1984,1
Zambia,1996,1
Zimbabwe,1980,15
Zimbabwe,2004,3
Zimbabwe,2008,4
